"i","n1","n2","generation","nodes","edges","paths","density","time","bytes","adds","prods","created","equals","leq"
0,0//1,2//1,0,1,0,1.0,1.0,8.019e-6,1216.0,0,1,0,0,0
1,1//1,2//1,2,3,2,1.0,1.0,7.8116e-5,10912.0,2,5,2,0,0
2,2//1,2//1,6,11,14,5.0,1.3636363636363635,0.000214553,48608.0,13,6,11,0,0
3,3//1,2//1,12,45,82,625.0,1.8444444444444446,0.068835036,1.298532e6,83,9,69,0,0
4,4//1,2//1,20,153,331,748077.0,2.1699346405228757,0.013266295,5.08984e6,460,12,393,0,0
5,5//1,2//1,30,428,1015,6.085358435e9,2.3738317757009346,0.122446419,4.3640128e7,1935,15,1705,0,0
6,6//1,2//1,42,1024,2565,2.85343216243798e14,2.505859375,0.743089202,2.71792416e8,6330,18,5708,0,0
7,7//1,2//1,56,2172,5637,7.0352688036251116e19,2.595764272559853,3.897952511,1.486446016e9,17234,21,15802,0,0
8,8//1,2//1,72,4196,11160,8.615540969651363e25,2.659914204003813,15.940410716,5.622187952e9,40904,24,37970,0,0
9,9//1,2//1,90,7529,20384,5.0443458043182515e32,2.7075308805950327,56.699081147,1.6828904896e10,87363,27,81860,0,0
10,3//1,3//1,31,1627,6042,4.326138913672e12,3.71419791026429,0.353743509,1.48495424e8,3485,10,3242,0,0
11,4//1,2//1,42,14961,80196,7.27448190950702e19,5.360403716329122,9.077178159,3.59409528e9,23448,30,21510,0,0
